intolerance,"{'Director': ['D.W. Griffith'], 'Principal Cast': ['Lillian Gish'], 'Cast': ['Dore Davidson', 'Edward Dillon', 'Elmer Clifton', 'Frank Bennett', 'Josephine Crowell', 'Lucille Browne', 'Mary Alden', 'Miriam Cooper', 'Monte Blue', 'Pearl Elmore', 'Sam De Grasse', 'Spottiswoode Aitken', 'Taylor N. Duncan', 'William H. Brown']}"
pinocchio-1940,"{'Director': ['Ben Sharpsteen', 'Bill Roberts', 'Hamilton Luske', 'Jack Kinney', 'Norman Ferguson', 'T. Hee', 'Wilfred Jackson'], 'Principal Cast': ['Charles Judels', 'Cliff Edwards', 'Dickie Jones', 'Don Brodie', 'Frankie Darro', 'Marion Darlington', 'Mel Blanc', 'Stuart Buchanan', 'Walter Catlett'], 'Cast': ['Clarence Nash', 'Jack Mercer', 'John McLeish', 'Mae Questel', 'Patricia Page', 'Thurl Ravenscroft']}"
touch-of-evil,"{'Director': ['Orson Welles'], 'Principal Cast': ['Akim Tamiroff', 'Charlton Heston', 'Dennis Weaver', 'Janet Leigh', 'Joanna Moore', 'Joseph Calleia', 'Mort Mills', 'Orson Welles', 'Ray Collins', 'Valentin de Vargas'], 'Cast': ['Joi Lansing', 'Lalo Rios', 'Michael Sargent', 'Phil Harvey', 'Victor Millan']}"
the-lady-vanishes-1938,"{'Director': ['Alfred Hitchcock'], 'Principal Cast': ['Basil Radford', 'Cecil Parker', 'Dame May Whitty', 'Emile Boreo', 'Linden Travers', 'Margaret Lockwood', 'Mary Clare', 'Michael Redgrave', 'Naunton Wayne', 'Paul Lukas'], 'Cast': ['Catherine Lacey', 'Googie Withers', 'Philip Leaver', 'Sally Stewart', 'Selma Vaz Dias']}"
the-treasure-of-the-sierra-madre,"{'Director': ['John Huston'], 'Principal Cast': ['Alfonso Bedoya', 'Arturo Soto Rangel', 'Barton MacLane', 'Bruce Bennett', 'Humphrey Bogart', 'José Torvay', 'Manuel Dondé', 'Margarito Luna', 'Tim Holt', 'Walter Huston'], 'Cast': ['Guillermo Calles', 'Jacqueline Dalya', 'Robert Blake', 'Roberto Cañedo', 'Spencer Chan']}"
pans-labyrinth,"{'Director': ['Guillermo del Toro'], 'Principal Cast': ['Ariadna Gil', 'Ivana Baquero', 'Sergi López'], 'Cast': ['Álex Angulo', 'César Vea', 'Doug Jones', 'Eusebio Lázaro', 'Francisco Vidal', 'Gonzalo Uriarte', 'Ivan Massagué', 'Juanjo Cucalón', 'Lina Mira', 'Manolo Solo', 'Maribel Verdú', 'Roger Casamajor']}"
some-like-it-hot,"{'Director': ['Billy Wilder'], 'Principal Cast': ['Billy Gray', 'George E. Stone', 'George Raft', 'Jack Lemmon', 'Joan Shawlee', 'Joe E. Brown', 'Marilyn Monroe', 'Nehemiah Persoff', ""Pat O'Brien"", 'Tony Curtis'], 'Cast': ['Barbara Drew', 'Beverly Wills', 'Dave Barry', 'Harry Wilson', 'Mike Mazurki']}"
north-by-northwest,"{'Director': ['Alfred Hitchcock'], 'Principal Cast': ['Adam Williams', 'Cary Grant', 'Edward Platt', 'Eva Marie Saint', 'James Mason', 'Jessie Royce Landis', 'Josephine Hutchinson', 'Leo G. Carroll', 'Martin Landau', 'Philip Ober'], 'Cast': ['Edward Binns', 'Les Tremayne', 'Patrick McVey', 'Philip Coolidge', 'Robert Ellenstein']}"
hoop-dreams,"{'Director': ['Steve James'], 'Principal Cast': ['Arthur Agee', 'William Gates'], 'Cast': ['Aretha Mitchell', ""Arthur 'Bo' Agee"", 'Bill Gleason', 'Curtis Gates', 'Earl Smith', 'Emma Gates', 'Gene Pingatore', 'Isiah Thomas', 'Luther Bedford', 'Marjorie Heard', 'Marlyn Hopewell', 'Patricia Weir', 'Sheila Agee']}"
rashomon,"{'Director': ['Akira Kurosawa'], 'Principal Cast': ['Daisuke Katô', 'Kichijir', 'Leslie Daniels', 'Machiko Kyô', 'Masayuki Mori', 'Minoru Chiaki', 'Noriko Honma', 'Takashi Shimura', 'Toshirô Mifune']}"
